frame_comic1,26,"4_1.png",111,20,1,1,0,1,0,1
frame_comic1,58,"4_1.png",102,20,1,1,1,1,0,1
frame_comic2,61,"4_2.png",295,29,1,1,0,1,0,1
TEXT,COMIC_4_2,frame_comic2,100,140,67,24,0,0,0,0,0
frame_comic3,84,"4_3.png",516,22,1,1,0,1,0,1
frame_comic2,86,"4_2.png",295,27,1,1,1,1,0,1
TEXT,COMIC_4_2,frame_comic2,100,140,67,24,0,0,0,0,0
frame_comic1,95,"4_1.png",99,20,1,1,1,1,0,1
frame_comic2,112,"4_2.png",295,26,1,1,1,1,0,1
TEXT,COMIC_4_2,frame_comic2,100,140,67,24,0,0,0,0,0
frame_comic3,117,"4_3.png",516,23,1,1,1,1,0,1
frame_comic3,149,"4_3.png",516,25,1,1,1,1,0,1
frame_comic4,164,"4_4.png",100,390,0.949,0.949,0,1,0,1
TEXT,COMIC_4_4,frame_comic4,194,121,55,31,0,0,0,0,0
frame_comic4,166,"4_4.png",87,372,1.049,1.049,1,1,0,1
TEXT,COMIC_4_4,frame_comic4,194,121,55,31,0,0,0,0,0
frame_comic4,168,"4_4.png",94,381,1,1,1,1,0,1
TEXT,COMIC_4_4,frame_comic4,194,121,55,31,0,0,0,0,0
frame_comic5,192,"4_5.png",376,372,1.049,1.049,0,1,0,1
TEXT,COMIC_4_5,frame_comic5,184,217,51,29,0,0,0,0,0
frame_comic5,194,"4_5.png",388,390,0.949,0.949,1,1,0,1
TEXT,COMIC_4_5,frame_comic5,184,217,51,29,0,0,0,0,0
frame_comic5,196,"4_5.png",380,381,1,1,1,1,0,1
TEXT,COMIC_4_5,frame_comic5,184,217,51,29,0,0,0,0,0
frame_comic6,225,"4_6.png",681,414,0.899,0.899,0,1,0,1
frame_comic6,227,"4_6.png",662,375,1.049,1.049,1,1,0,1
frame_comic6,229,"4_6.png",669,382,1,1,1,1,0,1
frame_comic91,250,"comicContinue.png",805,750,1,1,0,1,0.5,0.5
TEXT,CINEMATICS_TAP_TO_CONTINUE,frame_comic91,0,0,195,34,-1.7331390380859375,0,0,0,1
frame_comic91,258,"comicContinue.png",805,744,1,1,1,1,0.5,0.5
TEXT,CINEMATICS_TAP_TO_CONTINUE,frame_comic91,0,0,195,34,-1.7331390380859375,0,0,0,1
PAGE_END,258
ORDER,frame_comic1,frame_comic2,frame_comic3,frame_comic4,frame_comic5,frame_comic6,frame_comic91
